# Command: for N in 25000 50000 100000 200000 400000; do SLATE_WA_NOPS=$N ./target/release/wa_study_paper > /tmp/conv_$N.csv; done  (binary built by: cargo build --release -p slate-kv-sim --bin wa_study_paper)
# Steady-state convergence check: does wa_steady depend on run length? Aggregated over seeds {1,2,3} at fixed capacity cap_ref_segs=64, seg_recs=64.
# Largest |relative change| from n_ops=200000 to 400000 across all 80 (u,s,arm) configs is reported in the task output; it is well under 1%.
# Platform: macOS 26.5.2 / arm64 / 12 cores / 24 GiB. Pure in-process GC model - not the SLATE engine, no flash backend.
n_ops,u_target,s,gc_type,wa_steady_mean,wa_steady_std,realized_u,n_seeds
25000,0.7,0.6,single,2.1516,0.01476,0.7,3
50000,0.7,0.6,single,2.1515,0.01534,0.7,3
100000,0.7,0.6,single,2.153,0.0034,0.7,3
200000,0.7,0.6,single,2.1551,0.00277,0.7,3
400000,0.7,0.6,single,2.1545,0.00144,0.7,3
25000,0.8,0.6,single,3.2237,0.01787,0.8,3
50000,0.8,0.6,single,3.2334,0.01121,0.8,3
100000,0.8,0.6,single,3.2325,0.00408,0.8,3
200000,0.8,0.6,single,3.2273,0.00216,0.8,3
400000,0.8,0.6,single,3.2308,0.00204,0.8,3
25000,0.9,0.6,single,7.4162,0.02037,0.8999,3
50000,0.9,0.6,single,7.4409,0.00873,0.8999,3
100000,0.9,0.6,single,7.4265,0.00805,0.8999,3
200000,0.9,0.6,single,7.4288,0.0105,0.8999,3
400000,0.9,0.6,single,7.4453,0.00465,0.8999,3
25000,0.5,0.9,single,1.4914,0.00136,0.5,3
50000,0.5,0.9,single,1.4894,0.00292,0.5,3
100000,0.5,0.9,single,1.4927,0.00263,0.5,3
200000,0.5,0.9,single,1.4926,0.00185,0.5,3
400000,0.5,0.9,single,1.4926,0.00131,0.5,3
25000,0.6,0.9,single,1.7529,0.00427,0.6001,3
